State	Code	Volumes	SD	Avg
IL	00101	30.00	1122.51	24342.00
IL	00101	10.00	1254.34	9397.00
IL	00101	5.00	1638.85	22661.00
IL	00101	12.00	1680.87	13346.00
IL	00101	9.00	1789.25	30255.00
IL	00101	28.00	1828.19	18395.00
IL	00101	27.00	1855.28	24521.00
IL	00101	32.00	2081.61	23343.00
IL	00101	19.00	2307.98	24677.00
IL	00101	119.00	2371.44	17393.00
IL	00101	30.00	3350.66	24993.00
IL	00101	74.00	3388.89	23201.00
IL	00101	13.00	3450.55	28693.00
IL	00101	11.00	3739.15	27097.00
IL	00101	5.00	3777.79	28503.00
IL	00101	51.00	4118.19	25346.00
IL	00101	10.00	4261.49	40970.00
IL	00101	38.00	4558.33	24470.00
IL	00101	13.00	4596.68	29388.00
IL	00101	45.00	4720.03	24902.00
IL	00101	6.00	5239.26	36358.00
IL	00101	35.00	5346.46	27948.00
IL	00101	40.00	5392.25	36555.00
IL	00101	29.00	5557.46	29069.00
IL	00101	11.00	6110.32	35154.00
IL	00101	9.00	8313.18	48184.00
PA	00101	29.00	429.88	18235.00
PA	00101	54.00	509.30	20818.00
PA	00101	45.00	510.65	20400.00
PA	00101	4.00	558.73	16389.00
PA	00101	5.00	559.94	19147.00
PA	00101	3.00	813.49	19249.00
PA	00101	19.00	819.31	29009.00
PA	00101	12.00	1065.55	31469.00
PA	00101	51.00	1546.07	29688.00
PA	00101	74.00	1952.31	25710.00
PA	00101	39.00	3439.28	35914.00
PA	00101	31.00	7755.45	40914.00
TX	00101	6.00	154.07	17960.00
TX	00101	3.00	175.50	18265.00
TX	00101	12.00	204.14	13062.00
TX	00101	5.00	275.92	26286.00
TX	00101	16.00	390.53	14433.00
TX	00101	11.00	427.02	15068.00
TX	00101	9.00	439.39	24777.00
TX	00101	17.00	481.39	15275.00
TX	00101	3.00	545.85	12240.00
TX	00101	14.00	552.24	23840.00
TX	00101	3.00	596.82	18014.00
TX	00101	11.00	627.75	20216.00
TX	00101	10.00	640.76	21974.00
TX	00101	9.00	662.85	23440.00
TX	00101	19.00	671.48	27580.00
TX	00101	5.00	677.39	14633.00
TX	00101	4.00	698.97	22381.00
TX	00101	7.00	769.89	25136.00
TX	00101	112.00	770.38	23986.00
TX	00101	3.00	787.92	29778.00
TX	00101	5.00	832.34	20030.00
TX	00101	5.00	840.32	14308.00
TX	00101	20.00	843.28	24718.00
TX	00101	40.00	876.30	23451.00
TX	00101	26.00	898.31	22506.00
TX	00101	50.00	1025.71	25794.00
TX	00101	22.00	1045.39	26223.00
TX	00101	15.00	1052.09	25223.00
TX	00101	5.00	1053.95	30836.00
TX	00101	81.00	1054.50	19766.00
TX	00101	25.00	1092.78	26551.00
TX	00101	10.00	1164.45	17477.00
TX	00101	35.00	1166.64	18636.00
TX	00101	5.00	1180.45	17481.00
TX	00101	14.00	1186.35	29068.00
TX	00101	5.00	1232.56	17812.00
TX	00101	12.00	1252.53	30534.00
TX	00101	28.00	1258.85	19434.00
TX	00101	17.00	1286.93	11657.00
TX	00101	88.00	1327.48	26375.00
TX	00101	4.00	1339.53	15954.00
TX	00101	106.00	1339.86	26137.00
TX	00101	24.00	1398.11	31483.00
TX	00101	14.00	1418.84	22021.00
TX	00101	17.00	1439.62	27373.00
TX	00101	46.00	1517.44	22559.00
TX	00101	16.00	1573.50	27536.00
TX	00101	15.00	1769.48	26636.00
TX	00101	10.00	1812.09	23721.00
TX	00101	32.00	1857.09	15118.00
TX	00101	3.00	2040.65	29944.00
TX	00101	44.00	2064.06	28456.00
TX	00101	13.00	2073.44	25402.00
TX	00101	29.00	2106.21	26633.00
TX	00101	5.00	2253.47	25345.00
TX	00101	22.00	2340.76	23273.00
TX	00101	6.00	2395.53	12527.00
TX	00101	4.00	2725.12	22572.00
TX	00101	23.00	2850.37	30177.00
TX	00101	17.00	2937.14	22137.00
TX	00101	20.00	3054.95	35843.00
TX	00101	18.00	3429.67	17491.00
TX	00101	3.00	3932.24	21982.00
TX	00101	30.00	3949.69	29122.00
TX	00101	12.00	4017.65	16254.00
TX	00101	18.00	4103.75	31678.00
TX	00101	6.00	4155.07	37909.00
TX	00101	21.00	4286.66	34696.00
TX	00101	5.00	5069.39	26926.00
TX	00101	3.00	5216.01	40089.00
TX	00101	25.00	5459.27	33083.00
TX	00101	3.00	5529.79	30528.00
TX	00101	52.00	5611.53	26589.00
TX	00101	57.00	5862.51	22150.00
TX	00101	8.00	5976.41	20127.00
TX	00102	4.00	118.97	12765.00
IL	00201	4.00	20434.47	57230.00
IL	00201	5.00	10166.31	40959.00
IL	00201	3.00	2623.29	26895.00
IL	00201	3.00	5136.20	46622.00
TX	00201	15.00	4098.99	34416.00
TX	00201	15.00	4098.99	34416.00
TX	00201	15.00	4098.99	34416.00
TX	00201	3.00	943.34	25484.00
TX	00201	5.00	1976.40	29805.00
TX	00201	5.00	1976.40	29805.00
TX	00201	3.00	447.97	32231.00
TX	00201	3.00	447.97	32231.00
TX	00201	3.00	447.97	32231.00
TX	00201	5.00	12417.46	56666.00
TX	00201	3.00	624.79	22809.00
TX	00201	4.00	4171.11	34155.00
TX	00201	4.00	4171.11	34155.00
TX	00201	4.00	4171.11	34155.00
TX	00201	4.00	4171.11	34155.00
TX	00201	4.00	4171.11	34155.00
TX	00201	3.00	2620.38	25553.00
TX	00201	3.00	2620.38	25553.00
TX	00201	3.00	2620.38	25553.00
TX	00201	3.00	2620.38	25553.00
TX	00201	3.00	2620.38	25553.00
TX	00201	3.00	286.85	18613.00
TX	00201	3.00	5963.19	41072.00
TX	00201	3.00	5963.19	41072.00
TX	00201	3.00	5963.19	41072.00
TX	00201	3.00	6997.60	47612.00
TX	00201	3.00	6997.60	47612.00
TX	00201	3.00	6997.60	47612.00
TX	00201	3.00	6997.60	47612.00
TX	00201	4.00	4171.11	34155.00
TX	00201	3.00	447.97	32231.00
TX	00201	3.00	447.97	32231.00
TX	00201	5.00	12587.35	25262.00
TX	00201	5.00	12587.35	25262.00
TX	00201	3.00	2833.20	18815.00
TX	00201	5.00	12417.46	56666.00
TX	00201	5.00	4396.81	39480.00
TX	00201	5.00	12417.46	56666.00
TX	00201	5.00	4396.81	39480.00
TX	00201	5.00	4396.81	39480.00
TX	00201	5.00	4396.81	39480.00
TX	00201	5.00	4396.81	39480.00
TX	00201	4.00	4428.94	33603.00
TX	00201	4.00	4428.94	33603.00
TX	00201	4.00	4428.94	33603.00
TX	00201	4.00	4428.94	33603.00
TX	00201	5.00	4396.81	39480.00
TX	00201	15.00	4098.99	34416.00
TX	00201	3.00	624.79	22809.00
TX	00201	15.00	4098.99	34416.00
TX	00201	15.00	4098.99	34416.00
TX	00201	15.00	4098.99	34416.00
TX	00201	15.00	4098.99	34416.00
TX	00201	3.00	297.22	17756.00
TX	00201	3.00	297.22	17756.00
TX	00201	5.00	184.32	23395.00
TX	00201	3.00	6997.60	47612.00
TX	00201	15.00	4098.99	34416.00
TX	00201	15.00	4098.99	34416.00
TX	00201	15.00	4098.99	34416.00
TX	00201	4.00	419.00	44747.00
TX	00201	4.00	4023.16	41242.00
TX	00201	3.00	317.98	32221.00
TX	00201	6.00	572.18	23500.00
TX	00201	6.00	572.18	23500.00
TX	00201	3.00	317.98	32221.00
TX	00201	3.00	317.98	32221.00
TX	00201	3.00	317.98	32221.00
TX	00201	3.00	317.98	32221.00
TX	00201	3.00	624.79	22809.00
IL	00202	3.00	3476.08	28507.00
IL	00202	5.00	5354.59	29308.00
IL	00202	6.00	864.16	11646.00
PA	00202	5.00	1265.07	13448.00
PA	00202	3.00	183.29	16495.00
PA	00202	3.00	183.29	16495.00
PA	00202	3.00	183.29	16495.00
PA	00202	3.00	183.29	16495.00
PA	00202	3.00	183.29	16495.00
PA	00202	3.00	183.29	16495.00
PA	00202	3.00	183.29	16495.00
PA	00202	3.00	183.29	16495.00
PA	00202	3.00	183.29	16495.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
PA	00202	3.00	3863.89	29253.00
TX	00202	3.00	46.71	9772.00
TX	00202	3.00	46.71	9772.00
TX	00202	3.00	46.71	9772.00
TX	00202	4.00	2927.66	12302.00
TX	00202	3.00	255.32	13110.00
TX	00202	3.00	255.32	13110.00
TX	00202	3.00	255.32	13110.00
TX	00202	4.00	1347.73	15312.00
TX	00202	4.00	1347.73	15312.00
TX	00202	3.00	341.19	15089.00
TX	00202	3.00	341.19	15089.00
TX	00202	3.00	341.19	15089.00
TX	00202	3.00	617.18	17432.00
TX	00202	5.00	311.13	16614.00
TX	00202	5.00	311.13	16614.00
TX	00202	5.00	311.13	16614.00
TX	00202	5.00	311.13	16614.00
TX	00202	5.00	311.13	16614.00
TX	00202	5.00	311.13	16614.00
TX	00202	5.00	311.13	16614.00
TX	00202	5.00	690.35	11797.00
TX	00202	4.00	358.05	13118.00
TX	00202	4.00	358.05	13118.00
TX	00202	4.00	358.05	13118.00
TX	00202	4.00	358.05	13118.00
TX	00202	4.00	358.05	13118.00
TX	00202	4.00	358.05	13118.00
TX	00202	3.00	1425.77	9632.00
TX	00202	3.00	138.43	10971.00
TX	00202	3.00	9132.05	22861.00
TX	00202	3.00	937.91	18296.00
TX	00202	3.00	937.91	18296.00
TX	00202	3.00	937.91	18296.00
TX	00202	5.00	2441.27	19139.00
TX	00202	3.00	341.19	15089.00
TX	00202	3.00	341.19	15089.00
TX	00202	3.00	1186.81	9306.00
TX	00202	3.00	140.56	15240.00
TX	00202	3.00	140.56	15240.00
TX	00202	3.00	140.56	15240.00
TX	00202	3.00	617.18	17432.00
TX	00202	3.00	548.64	16558.00
TX	00202	3.00	617.18	17432.00
TX	00202	4.00	1078.01	17258.00
TX	00202	9.00	1148.32	17152.00
TX	00202	3.00	548.64	16558.00
TX	00202	3.00	548.64	16558.00
TX	00202	3.00	548.64	16558.00
TX	00202	3.00	548.64	16558.00
TX	00202	3.00	548.64	16558.00
TX	00202	4.00	2927.66	12302.00
TX	00202	4.00	2927.66	12302.00
TX	00202	4.00	2927.66	12302.00
TX	00202	4.00	2927.66	12302.00
TX	00202	3.00	255.32	13110.00
TX	00202	5.00	690.35	11797.00
TX	00202	3.00	255.32	13110.00
TX	00202	3.00	255.32	13110.00
TX	00202	3.00	255.32	13110.00
TX	00202	3.00	255.32	13110.00
TX	00202	3.00	255.32	13110.00
TX	00202	3.00	9132.05	22861.00
TX	00202	3.00	9132.05	22861.00
TX	00202	3.00	9132.05	22861.00
TX	00202	3.00	138.43	10971.00
TX	00202	3.00	138.43	10971.00
TX	00202	3.00	138.43	10971.00
TX	00202	3.00	255.32	13110.00
TX	00202	3.00	255.32	13110.00
TX	00202	3.00	4172.72	17809.00
TX	00202	4.00	509.83	21358.00
TX	00202	4.00	509.83	21358.00
TX	00202	3.00	703.03	20361.00
TX	00202	7.00	961.07	14732.00
TX	00202	5.00	690.35	11797.00
IL	00301	3.00	7997.02	61458.00
TX	00301	3.00	2026.36	21693.00
TX	00301	4.00	18270.79	132822.00
TX	00301	4.00	18270.79	132822.00
TX	00301	4.00	18270.79	132822.00
TX	00301	3.00	2026.36	21693.00
TX	00301	3.00	2026.36	21693.00
TX	00301	3.00	2026.36	21693.00
TX	00301	3.00	42020.17	105780.00
IL	00401	4.00	6172.56	54472.00
IL	00401	4.00	5101.56	66523.00
IL	00401	4.00	3699.90	60738.00
IL	00401	4.00	4023.65	58980.00
IL	00401	7.00	9285.73	79682.00
IL	00401	5.00	5962.67	59872.00
IL	00401	7.00	11141.11	90724.00
IL	00401	6.00	9299.16	53912.00
IL	00401	7.00	8523.64	50189.00
IL	00401	5.00	7712.79	56806.00
IL	00401	5.00	7712.79	56806.00
IL	00401	5.00	3140.50	61339.00
IL	00401	5.00	3538.12	37888.00
IL	00401	7.00	7495.13	59567.00
IL	00401	7.00	7495.13	59567.00
IL	00401	4.00	7364.55	44588.00
IL	00401	4.00	3099.32	66468.00
IL	00401	4.00	12915.74	43711.00
IL	00401	3.00	15627.75	72837.00
IL	00401	10.00	28870.48	77710.00
IL	00401	4.00	8136.27	78028.00
IL	00401	3.00	73855.45	121978.00
IL	00401	3.00	9471.83	55443.00
IL	00401	9.00	7931.38	67736.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	728.11	45044.00
PA	00401	5.00	886.13	60620.00
PA	00401	5.00	886.13	60620.00
PA	00401	5.00	886.13	60620.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	3.00	488.78	65938.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	8.00	1435.35	54095.00
PA	00401	5.00	7143.20	91953.00
PA	00401	5.00	7143.20	91953.00
PA	00401	5.00	7143.20	91953.00
PA	00401	5.00	7143.20	91953.00
PA	00401	5.00	7143.20	91953.00
PA	00401	5.00	7143.20	91953.00
PA	00401	7.00	327.38	50918.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
PA	00401	3.00	6979.86	48675.00
TX	00401	3.00	1710.73	33654.00
TX	00401	7.00	1794.42	40910.00
TX	00401	7.00	1794.42	40910.00
TX	00401	7.00	1794.42	40910.00
TX	00401	9.00	639.66	42344.00
TX	00401	9.00	2243.13	49922.00
TX	00401	9.00	2243.13	49922.00
TX	00401	4.00	21438.25	69340.00
TX	00401	9.00	2243.13	49922.00
TX	00401	9.00	2243.13	49922.00
TX	00401	9.00	2243.13	49922.00
TX	00401	14.00	655.24	49718.00
TX	00401	14.00	655.24	49718.00
TX	00401	14.00	655.24	49718.00
TX	00401	9.00	58805.08	103187.00
TX	00401	3.00	10804.28	66404.00
TX	00401	3.00	10804.28	66404.00
TX	00401	3.00	10804.28	66404.00
TX	00401	3.00	10804.28	66404.00
TX	00401	3.00	10804.28	66404.00
TX	00401	3.00	10804.28	66404.00
TX	00401	3.00	10804.28	66404.00
TX	00401	6.00	790.93	38333.00
TX	00401	7.00	775.18	41918.00
TX	00401	7.00	775.18	41918.00
TX	00401	5.00	16499.59	57143.00
TX	00401	5.00	16499.59	57143.00
TX	00401	5.00	16499.59	57143.00
TX	00401	5.00	16499.59	57143.00
TX	00401	5.00	16499.59	57143.00
TX	00401	5.00	16499.59	57143.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	8.00	10081.02	52712.00
TX	00401	3.00	2339.85	38375.00
TX	00401	3.00	2339.85	38375.00
TX	00401	3.00	2339.85	38375.00
TX	00401	3.00	2339.85	38375.00
TX	00401	3.00	2339.85	38375.00
TX	00401	6.00	788.51	33544.00
TX	00401	3.00	975.33	33502.00
TX	00401	5.00	6856.06	56506.00
TX	00401	4.00	5375.92	43559.00
TX	00401	13.00	3527.75	62117.00
TX	00401	13.00	3527.75	62117.00
TX	00401	13.00	3527.75	62117.00
TX	00401	3.00	8617.23	72504.00
TX	00401	3.00	8617.23	72504.00
TX	00401	3.00	8617.23	72504.00
TX	00401	3.00	8617.23	72504.00
TX	00401	6.00	14459.97	95980.00
TX	00401	14.00	655.24	49718.00
TX	00401	14.00	655.24	49718.00
TX	00401	9.00	2243.13	49922.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	4490.84	53176.00
TX	00401	3.00	7040.91	38781.00
TX	00401	3.00	7040.91	38781.00
TX	00401	3.00	29964.28	70371.00
TX	00401	3.00	29964.28	70371.00
TX	00401	9.00	58805.08	103187.00
TX	00401	9.00	58805.08	103187.00
TX	00401	5.00	6669.43	47801.00
TX	00401	5.00	6669.43	47801.00
TX	00401	5.00	6669.43	47801.00
TX	00401	5.00	6669.43	47801.00
TX	00401	3.00	1710.73	33654.00
TX	00401	3.00	1710.73	33654.00
TX	00401	3.00	1710.73	33654.00
TX	00401	3.00	1710.73	33654.00
TX	00401	7.00	1794.42	40910.00
TX	00401	6.00	790.93	38333.00
TX	00401	7.00	1794.42	40910.00
TX	00401	7.00	1794.42	40910.00
TX	00401	7.00	1794.42	40910.00
TX	00401	7.00	1794.42	40910.00
TX	00401	4.00	323.64	33284.00
TX	00401	4.00	323.64	33284.00
TX	00401	5.00	12779.06	39870.00
TX	00401	5.00	24863.39	53882.00
TX	00401	4.00	696.41	35547.00
TX	00401	3.00	8617.23	72504.00
TX	00401	7.00	1794.42	40910.00
TX	00401	5.00	6856.06	56506.00
TX	00401	5.00	6856.06	56506.00
TX	00401	5.00	6856.06	56506.00
TX	00401	3.00	2004.04	52799.00
TX	00401	3.00	975.33	33502.00
TX	00401	3.00	975.33	33502.00
TX	00401	3.00	975.33	33502.00
TX	00401	7.00	1794.42	40910.00
TX	00401	7.00	1794.42	40910.00
TX	00401	5.00	2388.67	55191.00
TX	00401	9.00	400.69	73567.00
TX	00401	9.00	400.69	73567.00
TX	00401	3.00	26090.29	91579.00
TX	00401	5.00	24863.39	53882.00
TX	00401	5.00	24863.39	53882.00
TX	00401	14.00	29419.01	78305.00
TX	00401	25.00	25999.99	93648.00
TX	00401	3.00	471.30	31791.00
TX	00401	3.00	471.30	31791.00
TX	00401	4.00	392.97	29122.00
TX	00401	6.00	1237.12	38562.00
TX	00401	6.00	1237.12	38562.00
TX	00401	3.00	3205.51	70724.00
TX	00401	3.00	815.91	34902.00
TX	00401	6.00	790.93	38333.00
TX	00401	3.00	1340.75	34739.00
TX	00401	3.00	1340.75	34739.00
TX	00401	3.00	1340.75	34739.00
TX	00401	3.00	1340.75	34739.00
IL	00501	5.00	2946.63	12769.00
IL	00501	25.00	1529.04	13435.00
IL	00501	55.00	1437.62	13245.00
IL	00501	7.00	1621.79	12724.00
IL	00501	76.00	1776.33	12177.00
IL	00501	103.00	2527.15	16206.00
IL	00501	39.00	1437.39	17233.00
IL	00501	41.00	1188.34	18891.00
IL	00501	54.00	2138.71	18099.00
IL	00501	15.00	3170.52	23748.00
IL	00501	114.00	1633.14	18125.00
IL	00501	22.00	2024.60	19528.00
IL	00501	11.00	2265.70	15135.00
IL	00501	29.00	1694.09	13755.00
IL	00501	14.00	1006.96	10828.00
IL	00501	19.00	1916.52	20846.00
IL	00501	6.00	1807.59	21428.00
IL	00501	12.00	1643.24	12866.00
IL	00501	27.00	1808.04	15967.00
IL	00501	44.00	2054.27	18020.00
IL	00501	46.00	2127.64	14415.00
IL	00501	18.00	1983.66	13315.00
IL	00501	29.00	3082.15	22565.00
IL	00501	77.00	1730.15	12674.00
IL	00501	3.00	735.88	8154.00
IL	00501	29.00	2568.77	23738.00
IL	00501	3.00	5986.42	23038.00
IL	00501	3.00	1140.23	14825.00
IL	00501	4.00	2070.24	14283.00
IL	00501	3.00	2863.88	23023.00
IL	00501	17.00	2376.86	10865.00
IL	00501	4.00	1500.63	19377.00
IL	00501	12.00	1660.04	24607.00
IL	00501	18.00	2345.59	19821.00
IL	00501	6.00	2022.33	14499.00
IL	00501	14.00	2624.30	15100.00
IL	00501	16.00	1621.51	15954.00
IL	00501	7.00	772.41	9813.00
IL	00501	17.00	1550.18	16597.00
IL	00501	17.00	1550.18	16597.00
IL	00501	5.00	4496.68	12278.00
IL	00501	5.00	3125.07	15905.00
IL	00501	5.00	1583.84	10629.00
IL	00501	89.00	2360.99	18653.00
IL	00501	89.00	2115.43	12682.00
IL	00501	48.00	2276.71	20058.00
IL	00501	306.00	1779.91	14676.00
IL	00501	306.00	1779.91	14676.00
IL	00501	6.00	1432.10	12676.00
IL	00501	15.00	3043.19	16917.00
IL	00501	38.00	1396.46	15180.00
IL	00501	3.00	586.31	19133.00
IL	00501	6.00	435.85	20033.00
IL	00501	19.00	3228.73	13499.00
IL	00501	3.00	3168.26	19152.00
IL	00501	8.00	1272.84	17842.00
IL	00501	17.00	2486.36	17840.00
IL	00501	9.00	1778.86	14530.00
IL	00501	7.00	1764.56	15280.00
IL	00501	5.00	473.49	12850.00
IL	00501	15.00	1821.96	14621.00
IL	00501	8.00	2418.74	19997.00
IL	00501	28.00	3407.27	19806.00
IL	00501	17.00	2530.81	19352.00
IL	00501	16.00	2985.52	18291.00
IL	00501	70.00	1414.35	11156.00
IL	00501	70.00	1414.35	11156.00
IL	00501	54.00	1974.53	15870.00
IL	00501	8.00	1187.97	12833.00
IL	00501	5.00	2204.54	18452.00
IL	00501	11.00	5572.07	21354.00
IL	00501	13.00	1831.07	15896.00
IL	00501	4.00	1652.93	13142.00
IL	00501	6.00	1508.26	14549.00
IL	00501	5.00	2544.80	19484.00
IL	00501	10.00	4770.78	15005.00
IL	00501	51.00	2358.04	16331.00
IL	00501	8.00	14288.08	24176.00
IL	00501	31.00	1218.36	11966.00
IL	00501	6.00	13668.23	33751.00
IL	00501	7.00	3281.26	28021.00
IL	00501	6.00	2920.73	16765.00
PA	00501	5.00	1247.00	13882.00
PA	00501	7.00	2332.61	16299.00
PA	00501	7.00	973.51	14202.00
PA	00501	12.00	605.81	12528.00
PA	00501	7.00	1802.41	15113.00
PA	00501	7.00	1802.41	15113.00
PA	00501	7.00	1802.41	15113.00
PA	00501	7.00	1802.41	15113.00
PA	00501	7.00	1802.41	15113.00
PA	00501	7.00	1802.41	15113.00
PA	00501	7.00	1802.41	15113.00
PA	00501	7.00	1802.41	15113.00
PA	00501	7.00	1802.41	15113.00
PA	00501	4.00	529.48	18527.00
PA	00501	4.00	529.48	18527.00
PA	00501	4.00	529.48	18527.00
PA	00501	4.00	529.48	18527.00
PA	00501	4.00	529.48	18527.00
PA	00501	4.00	529.48	18527.00
PA	00501	3.00	2736.53	22523.00
PA	00501	3.00	2736.53	22523.00
PA	00501	3.00	2736.53	22523.00
PA	00501	3.00	2736.53	22523.00
PA	00501	3.00	2736.53	22523.00
PA	00501	3.00	2736.53	22523.00
PA	00501	3.00	2736.53	22523.00
PA	00501	3.00	2736.53	22523.00
PA	00501	4.00	1239.25	14570.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	24.00	892.48	13264.00
PA	00501	23.00	851.93	17999.00
PA	00501	23.00	851.93	17999.00
PA	00501	23.00	851.93	17999.00
PA	00501	5.00	3652.36	13195.00
PA	00501	5.00	3652.36	13195.00
PA	00501	5.00	3652.36	13195.00
PA	00501	5.00	3652.36	13195.00
PA	00501	9.00	1121.79	20196.00
PA	00501	9.00	1121.79	20196.00
PA	00501	9.00	1121.79	20196.00
PA	00501	9.00	1121.79	20196.00
PA	00501	9.00	1121.79	20196.00
PA	00501	9.00	1121.79	20196.00
PA	00501	9.00	1121.79	20196.00
